text,is_desc,url
"Volume 92, Number 3 2005 Taylor et al. 363 Revision of Ancistrocladus naphtylisoquinoline alkaloids are otherwise found only in Dioncophyllaceae (Bringmann et al., 1990; Bringmann & Pokorny, 1995; additional references cited in Lebrun & Stork, 1991). Some of these alkaloids have shown significant activity against malaria (Frangois et al., 1994) and one group of these, the michellamines produced by A. korupensis, were found to have significant inhibitory activity against the human immunodeficiency virus (HIV) (Manfredi et al., 1991; Boyd et al., 1994; Foster & Sork, 1997). However, in preclinical studies in several animal models, michellamine B was found to possess significant neurotoxicity, which precluded it being advanced into clinical trials (pers. comm., Gordon Cragg, Natural Products Branch, Developmental Therapeutics Program, National Cancer Institute, U.S.A.).",0,https://www.biodiversitylibrary.org/page/27274329
"HISTORY Wallich (1829) named Ancistrocladus in his catalogue of Indian and Southeast Asian plants. Here he listed four species from India, Sri Lanka, Burma, Malaysia, and the Andaman Islands. Ancistrocladus had been previously named by two other authors, however; Loureiro (1790) published Bembixv Lour., based on B. tectoria Lour. from what is today Vietnam, and Vahl (1810) published Wormia Vahl.
based on Wormia hamata Vahl from Sri Lanka.
Vahl’s name, however, is a later homonym of Wormia Rottb., published (Rottbgl, 1783) for a genus of plants now treated in the Dilleniaceae and thus is illegitimate and cannot be used. Bembix was validly published, but Wallich’s name was conserved over it and the Sri Lankan species was chosen as its conserved type, as listed in ICBN Appendix HLA.E3 (Greuter et al., 2000: 205). Subsequently, Endlicher (1840) published Bigamea K. Koenig ex Endl. for the Sri Lankan species. Neither Koenig nor Endlicher named any species of Bigamea, although they clearly considered there to be only one species of this genus in Sri Lanka.",0,https://www.biodiversitylibrary.org/page/27274329
"Although Planchon (1849) first: recognized the Ancistrocladaceae as a separate family, then comprising one genus with seven species from India, Sri Lanka, and southeastern Asia, Walpers (1851) first validly published this family name. This family was not recognized for several subsequent decades by most authors, who classified Ancistrocladus in a variety of other families but most often in the Dipterocarpaceae, largely because of its similar fruits.
However, the family Ancistrocladaceae was generally recognized by the end of the 19th and beginning of the 20th century (Gilg, 1895, 1925; Tieghem, 1903).",0,https://www.biodiversitylibrary.org/page/27274329
"Oliver (1868) first reported Ancistrocladus from Africa when he described A. guineensis Oliv. as a species of Dipterocarpaceae from Nigeria. Subsequently, Ancistrocladus was reported from central Africa (Léonard, 1949, 1982) and later documented in west Africa (Airy Shaw, 1949, 1950) and in east Africa (Freson, 1967; Léonard, 1984, 1986: Cheek et al., 2000).",0,https://www.biodiversitylibrary.org/page/27274329
"Tieghem (1903) reviewed Ancistrocladaceae with particular emphasis on its anatomy and recognized three genera in the family: Bigamea, distinguished by having only five stamens and comprising the Ancistrocladus plants found in Sri Lanka, which he treated as two species; Ancistrella Tiegh., distinguished primarily by anatomical details and comprising one African species, Ancistrella barteri Tiegh.: and Ancistrocladus, comprising, the remaining species including the one other African species known to Tieghem, Ancistrocladus guineensis.
Tieghem knew Ancistrella barteri only from one sterile collection, but considered it distinct from Ancistrocladus due to its larger and apically more acute leaves, its different arrangement of fiber bundles in the leaf midrib, and its distinctive stem epidermal structure, composed of parallel-elongate cells that lack chlorophyll and have thick but nonlignified walls.",0,https://www.biodiversitylibrary.org/page/27274329
"Gilg (1895, 1925), however, treated all these species in one genus, though in his second review of the family (Gilg, 1925) he separated the Sri Lankan plants in Ancistrocladus sect. Bigamea (K.
Koenig ex Endl.) Gilg, which comprised only the section’s type species, A. hamatus (Vahl) Gilg. All the remaining species he placed in “Sect. Euancistrocladus,” which is correctly called Ancistrocladus sect. Ancistrocladus under our current rules of nomenclature (Greuter et al., 2000). Subsequent authors have agreed in placing all of the species of Ancistrocladaceae in only one genus, Ancistrocladus (Cronquist, 1981; Porembski, 2002; Stevens, 2004).",0,https://www.biodiversitylibrary.org/page/27274329
"MorRPHOLOGY HABIT Ancistrocladus species are usually found as lianas climbing high into the forest canopy by means of their distinctive lateral branches that bear several woody hooks. However, they begin life as erect, self-supporting saplings in their juvenile stage, and the climbing growth develops later from extra-axillary stems (REG, pers. obs., A. grandiflorus, A.
korupensis, A. letestui, Africa), which may at times appear to be terminal (CMT, pers. obs., A. robertMO greenhouse). These soniorum J. Léonard,",0,https://www.biodiversitylibrary.org/page/27274329
"Volume 92, Number 3 2005 Taylor et al. 375 Revision of Ancistrocladus Selected specimens examined. INDIA. West Bengal: Bengalia near Calcutta, J. W. Helfer s.n. (A, P, PNH).
MYANMAR [BURMA]. [Probably] Mon: “Singkuwm,” Tenasserim, A. Ff G. Kerr 21661] (BM).",0,https://www.biodiversitylibrary.org/page/27274341
"3. Ancistrocladus barteri Scott-Elliot, J. Linn.
Soc., Bot. 30: 73. 1894. TYPE: Sierra Leone.
Not located as to region: Mount Gonkwi, Duunia, Talla Hills, 16 Feb. 1892, G. F ScottElliot 4860 (lectotype, designated by Airy Shaw (1950: 148), K!; isotype, BM!).",0,https://www.biodiversitylibrary.org/page/27274341
"Ancistrocladus pachyrrhachis Airy Shaw, Kew Bull. 1950: 149, 1950. Syn. nov. TYPE: Liberia. Montserrado County: Monrovia, 30 May 1947, J. 7) Baldwin Jr.
5839 (holotype, K [sheet 1 of 4]!; isotypes, K [sheets 2-4. of 4]!).",0,https://www.biodiversitylibrary.org/page/27274341
